city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Muttontown,Muttontown,NY,New York,36059,Nassau,40.8254,-73.5363
Pendleton,Pendleton,SC,South Carolina,45007,Anderson,34.6451,-82.7818
Elgin,Elgin,OK,Oklahoma,40031,Comanche,34.7849,-98.301
Benton City,Benton City,WA,Washington,53005,Benton,46.2622,-119.4812
Niantic,Niantic,CT,Connecticut,9180,Southeastern Connecticut,41.3258,-72.1952
Josephine,Josephine,TX,Texas,48085,Collin,33.0617,-96.3187
Evergreen,Evergreen,AL,Alabama,1035,Conecuh,31.4342,-86.9723
Lockland,Lockland,OH,Ohio,39061,Hamilton,39.2279,-84.4565
Durand,Durand,MI,Michigan,26155,Shiawassee,42.9127,-83.989
Elroy,Elroy,NC,North Carolina,37191,Wayne,35.3308,-77.9226
Windsor,Windsor,NC,North Carolina,37015,Bertie,35.9928,-76.9401
Planada,Planada,CA,California,6047,Merced,37.2902,-120.3217
St. James City,St. James City,FL,Florida,12071,Lee,26.5506,-82.0979
Mariemont,Mariemont,OH,Ohio,39061,Hamilton,39.1429,-84.3783
Capitol View,Capitol View,SC,South Carolina,45079,Richland,33.965,-80.9223
Idyllwild-Pine Cove,Idyllwild-Pine Cove,CA,California,6065,Riverside,33.7443,-116.7258
Ketchum,Ketchum,ID,Idaho,16013,Blaine,43.6867,-114.373
Huntington,Huntington,TX,Texas,48005,Angelina,31.2803,-94.577
Barrett,Barrett,TX,Texas,48201,Harris,29.8671,-95.0537
Myrtle Creek,Myrtle Creek,OR,Oregon,41019,Douglas,43.0227,-123.2812
Black River Falls,Black River Falls,WI,Wisconsin,55053,Jackson,44.2981,-90.842
Oakland,Oakland,FL,Florida,12095,Orange,28.5535,-81.636
Oxford,Oxford,MI,Michigan,26125,Oakland,42.8218,-83.2563
Clifton,Clifton,TX,Texas,48035,Bosque,31.7822,-97.5824
Spring City,Spring City,PA,Pennsylvania,42029,Chester,40.1768,-75.5466
Frederick,Frederick,OK,Oklahoma,40141,Tillman,34.3708,-99.0008
Netcong,Netcong,NJ,New Jersey,34027,Morris,40.8985,-74.7019
Hawaiian Acres,Hawaiian Acres,HI,Hawaii,15001,Hawaii,19.5324,-155.0498
Rollingwood,Rollingwood,CA,California,6013,Contra Costa,37.9654,-122.3306
Flat Rock,Flat Rock,NC,North Carolina,37089,Henderson,35.2678,-82.4526
West Point,West Point,NE,Nebraska,31039,Cuming,41.8379,-96.7057
Shenandoah,Shenandoah,TX,Texas,48339,Montgomery,30.184,-95.4557
Pleasant Valley,Pleasant Valley,WV,West Virginia,54049,Marion,39.4504,-80.1552
Westway,Westway,TX,Texas,48141,El Paso,31.9603,-106.576
Mifflinburg,Mifflinburg,PA,Pennsylvania,42119,Union,40.9202,-77.0465
Holden Heights,Holden Heights,FL,Florida,12095,Orange,28.5013,-81.3878
Plainview,Plainview,MN,Minnesota,27157,Wabasha,44.1648,-92.1697
Goulding,Goulding,FL,Florida,12033,Escambia,30.4396,-87.23
Lake Delton,Lake Delton,WI,Wisconsin,55111,Sauk,43.5932,-89.7841
Welch,Welch,WV,West Virginia,54047,McDowell,37.4455,-81.5721
Manti,Manti,UT,Utah,49039,Sanpete,39.2668,-111.6351
New Hampton,New Hampton,IA,Iowa,19037,Chickasaw,43.0563,-92.3153
Wrightsville,Wrightsville,GA,Georgia,13167,Johnson,32.727,-82.7191
Blanchard,Blanchard,LA,Louisiana,22017,Caddo,32.6027,-93.8832
Park City,Park City,TN,Tennessee,47103,Lincoln,35.0782,-86.5834
Gibbstown,Gibbstown,NJ,New Jersey,34015,Gloucester,39.8233,-75.2782
Westville,Westville,IL,Illinois,17183,Vermilion,40.0439,-87.6389
Lisbon,Lisbon,ME,Maine,23001,Androscoggin,44.0289,-70.1076
Campo,Campo,CA,California,6073,San Diego,32.6394,-116.4744
Beechwood,Beechwood,MS,Mississippi,28149,Warren,32.3303,-90.819
Hillsboro,Hillsboro,MO,Missouri,29099,Jefferson,38.2331,-90.5671
Kenedy,Kenedy,TX,Texas,48255,Karnes,28.8176,-97.8518
Leesburg,Leesburg,GA,Georgia,13177,Lee,31.7324,-84.1688
Hot Springs,Hot Springs,SD,South Dakota,46047,Fall River,43.4195,-103.4657
Horace,Horace,ND,North Dakota,38017,Cass,46.7558,-96.9078
Sheridan,Sheridan,IN,Indiana,18057,Hamilton,40.132,-86.2198
Gothenburg,Gothenburg,NE,Nebraska,31047,Dawson,40.9242,-100.154
Merton,Merton,WI,Wisconsin,55133,Waukesha,43.1416,-88.3082
Elba,Elba,AL,Alabama,1031,Coffee,31.4172,-86.0759
Tyro,Tyro,NC,North Carolina,37057,Davidson,35.7997,-80.3765
Rochester,Rochester,PA,Pennsylvania,42007,Beaver,40.7025,-80.2838
Alturas,Alturas,FL,Florida,12105,Polk,27.8417,-81.6952
Wellsboro,Wellsboro,PA,Pennsylvania,42117,Tioga,41.7458,-77.3031
Nokomis,Nokomis,FL,Florida,12115,Sarasota,27.1241,-82.4354
Mission Hills,Mission Hills,CA,California,6083,Santa Barbara,34.6861,-120.4404
Cascade Valley,Cascade Valley,WA,Washington,53025,Grant,47.1417,-119.326
Mountain View Acres,Mountain View Acres,CA,California,6071,San Bernardino,34.4976,-117.3472
Crane,Crane,TX,Texas,48103,Crane,31.3918,-102.3503
Hanover,Hanover,MN,Minnesota,27171,Wright,45.1579,-93.6634
Carrollton,Carrollton,MO,Missouri,29033,Carroll,39.3636,-93.4955
Benson,Benson,MN,Minnesota,27151,Swift,45.3152,-95.6058
South Berwick,South Berwick,ME,Maine,23031,York,43.2321,-70.7963
Sleepy Eye,Sleepy Eye,MN,Minnesota,27015,Brown,44.299,-94.7234
Reno,Reno,TX,Texas,48277,Lamar,33.6659,-95.4768
Goldendale,Goldendale,WA,Washington,53039,Klickitat,45.8192,-120.8233
Wadsworth,Wadsworth,IL,Illinois,17097,Lake,42.4448,-87.9202
Melody Hill,Melody Hill,IN,Indiana,18163,Vanderburgh,38.024,-87.512
Enochville,Enochville,NC,North Carolina,37159,Rowan,35.5205,-80.6644
West Orange,West Orange,TX,Texas,48361,Orange,30.0791,-93.7598
Monte Sereno,Monte Sereno,CA,California,6085,Santa Clara,37.2405,-121.9881
New Baden,New Baden,IL,Illinois,17027,Clinton,38.5367,-89.7071
